ID;alim_grp_code;alim_ssgrp_code;alim_grp_nom_eng;alim_ssgrp_nom_eng;alim_code;alim_nom_eng;Water (g/100g);Protein (g/100g);Carbohydrate (g/100g);Fat (g/100g);Sugars (g/100g);glucose (g/100g);lactose (g/100g);has_lactose;has_seafood;has_egg
44;1;102;starters and dishes;soups;25933;Soup, tomatoes and vermicelli to be reheated;0;1.1;5.87;0.8;3.43;0;0;0;0;0
45;1;102;starters and dishes;soups;25934;Soup, cereals and vegetables, dehydrated and reconstituted;90;1.4;6.8;1.4;1.2;0;0;0;0;0
46;1;102;starters and dishes;soups;25935;Soup, tomatoes, dehydrated and reconstituted;90.4;0.76;5.79;0.97;2.44;0.68;0.2;0;0;0
47;1;102;starters and dishes;soups;25936;Soup, mushrooms, dehydrated and reconstituted;91.3;0.65;4.37;1.79;0.63;0.2;0.2;0;0;0
48;1;102;starters and dishes;soups;25942;Soup, onions, dehydrated and reconstituted;94.1;0.58;4.37;0.4;1.3;0;0;0;0;0
49;1;102;starters and dishes;soups;25945;Soup, pumpkin to be reheated;91.8;0.67;4.13;1.56;2.37;0.3;0.2;0;0;0
50;1;102;starters and dishes;soups;25947;Broth, stock or bouillon, poultry, dehydrated and reconstituted;97.4;0.6;0.5;0.13;0.18;0;0;0;0;0
51;1;102;starters and dishes;soups;25948;Broth, stock or bouillon, vegetables, dehydrated and reconstituted;98;0.34;0.65;0.16;0.19;0;0;0;0;0
52;1;102;starters and dishes;soups;25949;Soup, tomato and vermicelli, dehydrated and reconstituted;92.2;0.63;4.21;0.18;0.72;0.24;0.2;0;0;0
53;1;102;starters and dishes;soups;25950;Soup, chicken and vermicelli, dehydrated and reconstituted;94.2;0.75;3.87;0.25;0.31;0.2;0.2;0;0;0
54;1;102;starters and dishes;soups;25953;Soup, pistou (basil, garlic and olive oil) to be reheated;0;2;4.1;0.5;0.25;0.2;0;0;0;0
55;1;102;starters and dishes;soups;25954;Soup, pumpkin, dehydrated and reconstituted;0;0.79;5.61;1.24;2.64;0;0;0;0;0
56;1;102;starters and dishes;soups;25955;Soup, Asian-style with noodles to be reheated;0;0.7;3.4;0.5;0.5;0;0;0;0;0
57;1;102;starters and dishes;soups;25956;Soup, minestrone, dehydrated and reconstituted;91.3;1.14;5.53;0.34;1.07;0;0;0;0;0
58;1;102;starters and dishes;soups;25957;Soup, watercress, dehydrated and reconstituted;0;0.42;3.95;0.8;0.31;0;0;0;0;0
59;1;102;starters and dishes;soups;25958;Soup, watercress to be reheated;0;1;5.4;0.8;0.9;0;0;0;0;0
60;1;102;starters and dishes;soups;25962;Soup, vegetables with cheese to be reheated;0;1.34;5.09;2.51;1.62;0;0;0;0;0
61;1;102;starters and dishes;soups;25963;Soup, green vegetables to be reheated;90.9;1;3.84;1.32;0.81;0.2;0.2;0;0;0
62;1;102;starters and dishes;soups;25964;Soup, green vegetables, dehydrated and reconstituted;91.8;0.72;5.31;1.07;1.07;0.2;0.2;0;0;0
63;1;102;starters and dishes;soups;25965;Soup, split peas to be reheated;0;2.68;6.25;1.98;1.02;0;0;0;0;0
64;1;102;starters and dishes;soups;25967;Soup, gazpacho, cold, ;91.1;0.65;3.38;1.62;2.32;1.12;0.2;0;0;0
65;1;102;starters and dishes;soups;25968;Soup, asparagus to be reheated;0;4.6;4.7;10.4;2.9;0;0;0;0;0
66;1;102;starters and dishes;soups;25969;Soup (average);90.7;1.27;4.5;1.37;1.6;0.4;0.15;0;0;0
67;1;102;starters and dishes;soups;25972;Miso soup, dehydrated, reconstituted;94.6;1.38;2.18;0.5;0.69;0.69;0.2;0;0;0
69;1;103;starters and dishes;dishes;8602;Caen-style tripe, ;77.9;18.4;0.7;3.62;0.5;0;0;0;0;0
70;1;103;starters and dishes;dishes;8612;Provencal-type tripe (with tomato);76.6;15.7;0.6;3.2;0.4;0.2;0;0;0;0
71;1;103;starters and dishes;dishes;25001;Veal stew in white sauce;75.1;15.4;3.1;4;0.3;0.2;0.2;0;0;0
72;1;103;starters and dishes;dishes;25033;Burgundy-style beef stew;78.4;8.93;4.17;3.3;1.57;0;0;0;0;0
73;1;103;starters and dishes;dishes;25035;Sauté of lamb w curry, ;73.5;10.5;0;13.9;0;0;0;0;0;0
74;1;103;starters and dishes;dishes;25058;Duck with sauce (green pepper sauce, hunter-style sauce,etc,) , ;0;9.55;10.2;7.3;0;0;0;0;0;0
75;1;103;starters and dishes;dishes;25063;Rabbit with mustard sauce, ;0;14.9;0.5;5;0.5;0;0;0;0;0
76;1;103;starters and dishes;dishes;25121;Cockerel in red wine sauce;0;13;4;7;1;0;0;0;0;0
77;1;103;starters and dishes;dishes;25125;Veal olive or veal paupiette;64.1;14.5;2.6;13.8;0.41;0;0;0;0;0
78;1;103;starters and dishes;dishes;25126;Poultry paupiette;64.2;23.9;8.8;3.4;0;0;0;0;0;0
80;1;103;starters and dishes;dishes;25174;Chicken with curry and coconut milk sauce;75.2;10.6;3.15;6.9;1.49;0.45;0.22;0;0;0
81;1;103;starters and dishes;dishes;25175;Molokhia, jute and beef-based meal, home-made;67.7;10.6;1.2;14.7;1.2;0;0;0;0;0
82;1;103;starters and dishes;dishes;25200;Devilled pork shoulder in mustard sauce, ;0;13.5;2.08;6.07;1.38;0;0;0;0;0
83;1;103;starters and dishes;dishes;25201;Beef tongue with Madeira wine sauce, ;0;9.5;4.5;13.5;2.5;0;0;0;0;0
84;1;103;starters and dishes;dishes;25207;Pork with caramel sauce, ;70.7;10;11.4;5.4;7.9;2.7;0.2;0;0;0
85;1;103;starters and dishes;dishes;25211;Meat balls, beef, with tomato sauce, ;0;9;5.5;6.5;0;0;0;0;0;0
86;1;103;starters and dishes;dishes;25213;Veal paupiette cooked in oven;54.8;22;0.48;20.5;0.3;0.3;0.2;0;0;0
87;1;103;starters and dishes;dishes;25538;Beef carpaccio, w marinade;57;15.2;0.55;23;0.5;0;0;0;0;0
88;1;103;starters and dishes;dishes;25565;Yakitori (grilled meat on skewers, Japanese-style, with sauce);58.8;26;9.3;3.3;6.6;1.4;0.2;0;0;0
89;1;103;starters and dishes;dishes;25585;Beef on skewer, with vegetables (onion, sweet pepper…), cooked;69.2;21.9;0.33;5.2;0;0;0;0;0;0
90;1;103;starters and dishes;dishes;25586;Poultry on skewer, with vegetables (onion, sweet pepper…), cooked;68;23.1;1.39;4;0;0;0;0;0;0
91;1;103;starters and dishes;dishes;25009;Shepherd's pie or cottage pie with meat, ;73.6;5.99;9.39;8.22;1.47;0.18;0.94;0;0;0
92;1;103;starters and dishes;dishes;25029;Couscous w mutton;68.9;8.31;12.2;7.2;1.38;0;0;0;0;0
93;1;103;starters and dishes;dishes;25043;Couscous with meat or chicken, light, ;72.9;5.9;11.5;1.9;2.1;0;0;0;0;0
94;1;103;starters and dishes;dishes;25057;Pre-fried potatoes, pan-fried, lardoons or chicken, and other, without green vegetables, ;65;3.2;16.2;9.6;1.7;0.6;0.2;0;0;0
95;1;103;starters and dishes;dishes;25127;Couscous royal (with different meats), ;69.2;7.69;14;4.53;1.57;0.48;0.1;0;0;0
96;1;103;starters and dishes;dishes;25138;Couscous w chicken;66.9;7.5;15.6;3.85;2.87;0;0;0;0;0
97;1;103;starters and dishes;dishes;25152;Couscous w meat, ;69.2;7.59;12.5;4.73;1.97;0.6;0.1;0;0;0
98;1;103;starters and dishes;dishes;25195;Shepherd's pie with duck, ;69.9;6.82;8.51;9.06;1.96;0.3;0;0;0;0
99;1;103;starters and dishes;dishes;25587;Shepherd's pie with duck cooked;68.5;7;10.5;10.2;1.7;0.2;1.7;0;0;0
100;1;103;starters and dishes;dishes;25002;White bean stew, canned;70.6;8.06;9.41;5.77;1.06;0.2;0;0;0;0
101;1;103;starters and dishes;dishes;25003;Sauerkraut, with garnish, ;82.4;5.06;2.8;8.06;0.66;0.28;0;0;0;0
102;1;103;starters and dishes;dishes;25010;Salt-cured pork belly with lentils, ;73.5;8.24;8.89;4.87;1.51;0.22;0;0;0;0
103;1;103;starters and dishes;dishes;25013;Boiled meat with vegetables, ;82.9;10.9;3.2;2.02;1.5;0.4;0;0;0;0
104;1;103;starters and dishes;dishes;25065;Beef stew with carrots;78.5;13.2;3.3;3.15;0.6;0;0;0;0;0
105;1;103;starters and dishes;dishes;25071;Pork sausage stew with cabbage, carrots and potatoes;82.5;6;3.7;4.3;0.86;0.37;0;0;0;0
106;1;103;starters and dishes;dishes;25098;White bean stew, with pork, canned;71.1;8.3;8.6;6.3;1.8;0;0;0;0;0
107;1;103;starters and dishes;dishes;25099;White bean stew, with duck or goose, canned;68.6;10.5;10.1;7.86;1.09;0.2;0;0;0;0
108;1;103;starters and dishes;dishes;25103;Stuffed tomatoes;78.5;5.49;2;9.67;0.88;0.41;0.3;0;0;0
109;1;103;starters and dishes;dishes;25106;Stuffed cabbage, ;81.2;5.3;2;6.6;2;0.88;0.3;0;0;0
110;1;103;starters and dishes;dishes;25111;Chili con carne, ;74.2;7.13;13;3.35;2.58;0.42;0;0;0;0
111;1;103;starters and dishes;dishes;25123;Moussaka;76;5.82;5.16;10.8;3.01;0.91;0.29;0;0;0
112;1;103;starters and dishes;dishes;25124;Stewed lamb garnished with potatoes and other vegetables;73.7;8.05;5;8.61;0.9;0;0;0;0;0
113;1;103;starters and dishes;dishes;25159;Mutton tagine;73;12.8;4.5;6.83;2.4;0;0;0;0;0
